frame_id,PHF,PHR,PFS,PS,PSP,PHP,flash,pattern
1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
29,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
30,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
31,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
32,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
33,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
36,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
37,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
38,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
45,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
46,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
47,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
48,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
49,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
50,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
51,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
52,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
53,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
65,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
68,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
73,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
75,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
76,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
84,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
87,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
89,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
91,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
92,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
97,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
